Date,Low,High,Close,Open
2025-08-29,13.1432,13.39,13.37,13.25
2025-08-28,13.06,13.35,13.25,13.22
2025-08-27,13.035,13.36,13.13,13.13
2025-08-26,12.88,13.17,13.15,13.005
2025-08-25,12.88,13.3199,13.0,13.27
2025-08-22,12.58,13.58,13.55,12.58
2025-08-21,12.48,12.7381,12.57,12.71
2025-08-20,12.75,13.155,12.8,13.055
2025-08-19,13.11,13.3799,13.22,13.26
2025-08-18,13.045,13.33,13.17,13.12
2025-08-15,12.855,13.19,13.17,12.89
2025-08-14,12.66,12.9353,12.82,12.92
2025-08-13,12.74,13.22,13.11,12.965
2025-08-12,11.77,13.02,12.98,11.78
2025-08-11,11.55,11.76,11.58,11.6
2025-08-08,11.56,11.8081,11.62,11.78
2025-08-07,11.59,11.8,11.73,11.79
2025-08-06,11.48,11.78,11.74,11.59
2025-08-05,11.13,11.69,11.64,11.3
2025-08-04,11.07,11.305,11.27,11.1
2025-08-01,10.9,11.2139,11.03,11.21
2025-07-31,11.36,11.64,11.49,11.47
2025-07-30,11.31,11.63,11.51,11.43
2025-07-29,11.38,11.64,11.42,11.61
2025-07-28,11.4,11.63,11.58,11.5
2025-07-25,11.46,11.7,11.5,11.55
2025-07-24,11.33,11.84,11.46,11.79
2025-07-23,12.52,12.79,12.68,12.55
2025-07-22,12.18,12.55,12.5,12.33
2025-07-21,12.31,12.6253,12.32,12.58
2025-07-18,12.2,12.59,12.51,12.52
2025-07-17,12.35,12.95,12.45,12.6
2025-07-16,11.91,12.34,12.27,12.29
2025-07-15,12.15,12.5,12.17,12.45
2025-07-14,12.13,12.41,12.38,12.24
2025-07-11,12.2,12.905,12.22,12.815
2025-07-10,12.13,13.18,12.94,12.295
2025-07-09,11.39,11.88,11.48,11.71
2025-07-08,11.55,11.9,11.58,11.73
2025-07-07,11.44,11.97,11.59,11.59
2025-07-03,11.665,11.93,11.69,11.725
2025-07-02,11.425,11.79,11.63,11.53
2025-07-01,11.16,11.71,11.52,11.185
2025-06-30,11.18,11.3295,11.22,11.3
2025-06-27,11.14,11.46,11.28,11.185
2025-06-26,11.12,11.28,11.13,11.14
2025-06-25,10.95,11.45,11.06,11.43
2025-06-24,11.1,11.46,11.37,11.235
2025-06-23,10.26,11.01,10.9,10.5
2025-06-20,10.5,10.79,10.62,10.71
2025-06-18,10.53,10.77,10.58,10.555
2025-06-17,10.44,10.85,10.56,10.7
2025-06-16,10.45,10.93,10.9,10.58
2025-06-13,10.3,10.65,10.37,10.322
2025-06-12,10.68,10.9648,10.9,10.88
2025-06-11,10.99,11.95,11.06,11.95
2025-06-10,11.68,11.9698,11.84,11.81
2025-06-09,11.7447,11.95,11.76,11.89
2025-06-06,11.42,11.8,11.78,11.48
2025-06-05,11.22,11.51,11.27,11.34
2025-06-04,11.32,11.58,11.42,11.52
2025-06-03,11.21,11.53,11.47,11.33
2025-06-02,11.03,11.39,11.38,11.3
2025-05-30,11.19,11.47,11.41,11.3
2025-05-29,11.31,11.67,11.4,11.635
2025-05-28,11.39,11.74,11.43,11.7
2025-05-27,11.37,11.8,11.64,11.4
2025-05-23,11.02,11.28,11.19,11.06
2025-05-22,11.1833,11.56,11.4,11.24
2025-05-21,11.19,11.56,11.24,11.46
2025-05-20,11.565,11.96,11.65,11.83
2025-05-19,11.5,11.925,11.86,11.68
2025-05-16,11.67,11.98,11.86,11.77
2025-05-15,11.465,11.87,11.76,11.85
2025-05-14,11.82,12.445,11.84,12.235
2025-05-13,11.74,12.385,12.3,11.77
2025-05-12,11.49,12.1,11.67,11.925
2025-05-09,10.93,11.23,11.11,11.105
2025-05-08,10.67,11.2,11.03,10.795
2025-05-07,10.4407,10.68,10.56,10.5
2025-05-06,10.38,10.59,10.43,10.43
2025-05-05,10.4,10.98,10.66,10.42
2025-05-02,10.25,10.69,10.52,10.25
2025-05-01,9.98,10.22,10.03,10.03
2025-04-30,9.48,9.99,9.95,9.64
2025-04-29,9.64,9.94,9.9,9.75
2025-04-28,9.68,10.01,9.85,9.76
2025-04-25,9.495,9.84,9.75,9.59
2025-04-24,9.21,9.68,9.61,9.41
2025-04-23,9.31,10.03,9.32,9.82
2025-04-22,9.04,9.33,9.31,9.185
2025-04-21,8.96,9.32,9.07,9.3
2025-04-17,9.29,9.56,9.46,9.41
2025-04-16,9.27,9.96,9.42,9.92
2025-04-15,9.585,9.97,9.85,9.585
2025-04-14,9.43,9.97,9.58,9.965
2025-04-11,9.3,9.7,9.67,9.51
2025-04-10,9.44,10.66,9.51,10.53
2025-04-09,9.085,11.23,11.12,9.13
2025-04-08,8.92,10.07,9.07,10.05
